ID,Number,IU,Speaker,Gender,Item,Vowel,Duration_IU_s,Syllables_IU,Speech_Rate,Frequency,ACC,BI,Prox,Duration_ms,Annotator_1_Duration,Annotator_2_Duration
1,1,to ^get them to give me a sub:stantial sum of money to enable me to :f\inish it# -,<2_1_B>,male,it,KIT,2.76,22,7.97,7.33,UNACC,4,0,64.2,66.4,62.0
2,2,I have ^n/\ever said that# ,<2_1_B>,male,that,CAT,1.47,6,4.08,7.19,UNACC,4,0,83.5,87.0,79.9
3,3,I I I ^h/\ope _you`ll ac_cept my _word on _this# -,<2_1_B>,male,this,KIT,2.04,11,5.40,6.89,UNACC,4,0,98.3,104.8,91.8
4,4,^and we pro!pose to put the :scheme to the Chi!ca\go Uni_versity Press#,<2_1_B>,male,press,DRESS,2.77,19,6.85,4.89,UNACC,4,0,95.7,94.2,97.2
5,5,I . ^put my bibli!\ography to the _Oxford _Press#,<2_1_B>,male,press,DRESS,2.99,13,4.35,4.89,UNACC,4,0,76.9,82.7,71.1
6,6,"I ^thought ""y/\ou were _going to _go and _pick them _up# .",<4_1_a>,male,up,STRUT,1.49,12,8.04,6.53,UNACC,4,0,78.3,78.0,78.5
7,7,*^be* an id/ea# ^w\ouldn`t it# .,<4_1_b>,female,it,KIT,0.52,3,5.80,7.33,UNACC,4,0,78.8,95.3,62.3
8,8,I`ve . ((^done)) a :l\ittle _bit#,<1_2_B>,male,bit,KIT,1.12,6,5.34,6.10,UNACC,4,0,80.5,75.7,85.3
9,9,^is [@] in {s\ome ways} a !b/\etter _man to _work with#,<1_2_B>,male,with,KIT,1.79,12,6.71,6.75,UNACC,4,0,91.0,91.1,91.0
10,10,I ^used to s\ew a _lot# ,<1_3_A>,female,lot,LOT,0.80,6,7.54,5.98,UNACC,4,0,93.6,96.4,90.8
11,11,^it was just !such a n\ight_mare#,<1_3_A>,female,just,STRUT,1.22,7,5.76,6.55,UNACC,1,4,43.2,49.3,37.0
12,12,"to al""^l\ow for this#",<1_4_A>,male,this,KIT,0.93,5,5.38,6.89,UNACC,4,0,69.4,71.5,67.3
13,13,^I must al!low my'self ((the)) :good t/ime#,<1_4_B>,male,must,STRUT,1.72,9,5.23,5.67,UNACC,1,7,110.6,116.9,104.2
