Token	Corpus	Text	Line_Number	Genre	Type	Whole_Genitive	Possessor	Possessor_Head	Possessor_NP_Type	Final_Sibilant	Possessor_Animacy5	Possessor_Animacy3	Possessor_Animacy2	Possessor_Givenness	Possessum	Possessum_Head	Possessum_Animacy2	Semantic_Relation	Prototypical_Semantics	Preceding_s_genitive	Possessor_Thematicity	Possessor_Length	Possessum_Length	Type_Token_Ratio	Time
ba01.0001.02	Brown	A01	1	Press	s	Atlanta's recent primary election	Atlanta's	Atlanta	proper	N	collective	collective	inanimate	new	recent primary election	election	inanimate	OTH	N	N	-2.455931956	1	3	72	1960
ba01.0002.02	Brown	A01	2	Press	of	the praise and thanks of the City of Atlanta	the City of Atlanta	City of Atlanta	proper	N	collective	collective	inanimate	new	the praise and thanks	praise	inanimate	OTH	N	Y	-3.301029996	4	4	66	1960
ba01.0004.03	Brown	A01	4	Press	of	the size of this city	this city	city	common	N	collective	collective	inanimate	given	the size	size	inanimate	OTH	N	N	-2.346787486	2	2	73	1960
ba01.0005.02	Brown	A01	5	Press	s	Georgia's registration and election laws	Georgia's	Georgia	proper	N	collective	collective	inanimate	new	registration and election laws	law	inanimate	OTH	N	N	-2.397940009	1	4	75	1960
ba01.0007.02	Brown	A01	7	Press	of	the best interest of both governments	both governments	government	common	Y	collective	collective	inanimate	new	the best interest	interest	inanimate	OTH	N	Y	-3.301029996	2	3	74	1960
ba01.0008.01	Brown	A01	8	Press	of	the cost of administration	administration	administration	common	N	inanimate	inanimate	inanimate	new	the cost	cost	inanimate	OTH	N	N	-3	1	2	75	1960
ba01.0011.01	Brown	A01	11	Press	of	Implementation of Georgia's automobile title law	Georgia's automobile title law	law	common	N	inanimate	inanimate	inanimate	new	Implementation	Implementation	inanimate	OTH	N	N	-2.522878745	4	1	67	1960
ba01.0011.02	Brown	A01	11	Press	s	Georgia's automobile title law	Georgia's	Georgia	proper	N	collective	collective	inanimate	given	automobile title law	law	inanimate	OTH	N	N	-2.397940009	1	3	67	1960
ba01.0014.02	Brown	A01	14	Press	of	the welfare departments of all the counties in the state with the exception of Fulton County	all the counties in the state with the exception of Fulton County	counties	common	N	collective	collective	inanimate	new	the welfare departments	departments	inanimate	OTH	N	Y	-2.070581074	8	3	76	1960
ba01.0018.03	Brown	A01	18	Press	of	"the appointment of appraisers , guardians and administrators"	"appraisers, guardians and administrators"	appraisers	common	Y	animate	animate	animate	new	the appointment	appointment	inanimate	OTH	N	N	-3.301029996	4	2	68	1960
ba01.0019.02	Brown	A01	19	Press	of	the recommendations of two previous grand juries	two previous grand juries	jury	common	N	collective	collective	inanimate	new	the recommendations	recommendations	inanimate	OTH	N	N	-2.022276395	4	2	71	1960
ba01.0020.01	Brown	A01	20	Press	s	the court's wards	the court's	court	common	N	collective	collective	inanimate	given	wards	wards	animate	OWN	Y	N	-2.455931956	2	1	70	1960
ba01.0021.01	Brown	A01	21	Press	s	Atlanta's new multi-million-dollar airport	Atlanta's	Atlanta	proper	N	place	inanimate	inanimate	given	new multi-million-dollar airport	airport	inanimate	PART	Y	Y	-2.455931956	1	3	74	1960
ba01.0022.02	Brown	A01	22	Press	of	the pricing practices of the concessionaires	the concessionaires	concessionaires	common	Y	animate	animate	animate	new	the pricing practices	practices	inanimate	OTH	N	Y	-3.301029996	2	3	78	1960
ba01.0032.02	Brown	A01	32	Press	s	his wife's age	his wife's	wife	common	N	animate	animate	animate	given	age	age	inanimate	OTH	N	N	-2.823908741	2	1	74	1960
ba01.0034.01	Brown	A01	34	Press	s	the mayor's attorney	the mayor's	mayor	common	N	animate	animate	animate	given	attorney	attorney	animate	OTH	N	Y	-2.397940009	2	1	86	1960
ba01.0035.01	Brown	A01	35	Press	of	mayor of Atlanta	Atlanta	Atlanta	proper	N	collective	collective	inanimate	given	mayor	mayor	animate	OTH	N	Y	-2.455931956	1	1	86	1960
ba01.0037.01	Brown	A01	37	Press	s	The mayor's present term of office	The mayor's	mayor	common	N	animate	animate	animate	given	present term of office	term	inanimate	OTH	N	N	-2.397940009	2	4	75	1960
ba01.0037.02	Brown	A01	37	Press	of	The mayor's present term of office	office	office	common	Y	inanimate	inanimate	inanimate	new	The mayor's present term	term	inanimate	OTH	N	Y	-2.823908741	1	4	75	1960
ba01.0042.01	Brown	A01	42	Press	of	the signatures of registered voters	registered voters	voters	common	Y	animate	animate	animate	new	the signatures	signatures	inanimate	OTH	N	N	-2.698970004	2	2	78	1960
ba01.0046.01	Brown	A01	46	Press	s	Lt. Gov. Garland Byrd's campaign	Lt. Gov. Garland Byrd's	Garland Byrd	proper	N	animate	animate	animate	new	campaign	campaign	inanimate	OTH	N	N	-3.301029996	4	1	76	1960
ba01.0047.01	Brown	A01	47	Press	s	Caldwell's resignation	Caldwell's	Caldwell	proper	N	animate	animate	animate	given	resignation	resignation	inanimate	OTH	N	Y	-2.823908741	1	1	77	1960
ba01.0055.01	Brown	A01	55	Press	of	the validity of the act	the act	act	common	N	inanimate	inanimate	inanimate	given	the validity	validity	inanimate	OTH	N	Y	-2.522878745	2	2	78	1960
