Student	School	Class	PPVT	Speaking	Listening	ReadingWriting	Attitude	L1	Sex
10	S1	1A	70	4	7	13	positive	dutch	female
14	S1	1A	79	7	14	18	positive	dutch	male
2	S1	1A	98	19	24	37	positive	dutch	male
3	S1	1A	80	11	17	30	positive	dutch	male
4	S1	1A	76	7	9	18	positive	dutch	male
5	S1	1A	85	16	17	22	positive	dutch	male
16	S2	2A	69	4	6	13	positive	multi	male
17	S2	2A	108	20	25	47	positive	dutch	male
18	S2	2A	67	0	3	13	negative	multi	male
19	S2	2A	101	20	25	45	positive	multi	male
20	S2	2A	71	5	16	10	positive	multi	female
21	S2	2A	76	12	9	10	positive	multi	female
22	S2	2A	81	15	21	24	positive	dutch	male
23	S2	2A	68	8	18	21	NA	multi	female
24	S2	2A	70	9	11	12	positive	multi	male
25	S2	2A	75	10	9	5	positive	multi	male
26	S2	2A	78	0	9	9	positive	multi	female
27	S2	2A	68	9	16	13	positive	multi	female
28	S2	2A	84	17	10	25	positive	multi	female
29	S2	2A	83	18	13	25	positive	dutch	male
31	S2	2A	52	19	19	27	positive	multi	female
32	S2	2A	68	4	5	15	negative	multi	female
33	S4	4A	54	2	21	10	positive	multi	male
34	S4	4A	89	6	22	13	positive	dutch	male
35	S4	4A	65	4	9	6	positive	multi	male
36	S4	4A	47	0	6	8	positive	multi	male
37	S4	4A	58	0	8	4	positive	multi	female
38	S4	4A	84	9	13	18	positive	multi	female
39	S4	4A	86	8	16	23	positive	dutch	female
40	S4	4A	81	6	22	14	positive	multi	male
41	S4	4A	74	1	13	14	positive	multi	male
42	S4	4A	46	0	6	6	positive	multi	male
44	S4	4A	101	20	25	48	positive	multi	female
45	S6	6A	93	14	24	33	positive	dutch	male
46	S6	6A	86	6	18	26	positive	dutch	female
47	S6	6A	95	6	20	31	positive	dutch	male
48	S6	6A	76	6	14	19	positive	dutch	male
49	S6	6A	83	6	14	21	positive	dutch	male
50	S6	6A	72	5	11	15	positive	dutch	female
51	S6	6A	84	6	16	24	positive	dutch	female
52	S6	6A	62	4	12	12	positive	dutch	female
53	S6	6A	93	18	21	36	positive	dutch	female
54	S6	6A	70	4	11	13	positive	multi	female
55	S6	6A	61	4	11	15	negative	dutch	male
56	S6	6A	76	3	4	12	positive	dutch	male
57	S6	6A	73	9	17	22	positive	dutch	female
58	S6	6A	82	5	16	20	positive	dutch	male
60	S6	6A	105	NA	24	43	positive	dutch	male
61	S6	6A	58	2	12	8	negative	dutch	male
62	S7	7A	62	3	7	11	positive	multi	male
63	S7	7A	76	6	7	23	positive	multi	male
64	S7	7A	63	18	19	35	positive	multi	male
65	S7	7A	101	NA	20	36	positive	multi	male
66	S7	7A	105	16	23	39	positive	dutch	male
67	S7	7A	70	0	5	8	positive	dutch	male
68	S7	7A	71	2	9	19	positive	dutch	male
69	S7	7A	110	20	25	47	NA	dutch	male
70	S7	7A	85	13	21	39	positive	multi	female
71	S7	7A	74	7	6	17	positive	multi	male
72	S7	7A	69	0	7	3	positive	dutch	female
74	S7	7A	31	5	6	14	positive	multi	male
75	S7	7A	77	5	19	25	positive	dutch	male
76	S7	7A	61	7	6	15	positive	multi	female
77	S7	7A	88	12	15	19	positive	multi	male
78	S7	7A	96	11	22	38	positive	dutch	male
100	S8	8B	82	NA	8	0	NA	NA	female
102	S8	8B	78	1	17	14	negative	dutch	female
103	S8	8B	69	2	9	13	positive	dutch	female
104	S8	8B	83	12	19	28	positive	dutch	female
105	S8	8B	108	13	25	45	positive	dutch	female
107	S8	8B	96	15	21	26	positive	dutch	male
108	S8	8B	65	8	14	7	positive	multi	female
109	S8	8B	90	12	15	23	positive	dutch	female
110	S8	8B	86	8	18	18	positive	dutch	male
111	S8	8B	79	12	18	36	positive	multi	male
113	S8	8B	72	1	12	17	positive	dutch	female
114	S8	8B	79	0	17	10	positive	dutch	female
115	S8	8B	84	4	18	16	positive	dutch	male
116	S8	8B	80	3	15	11	positive	dutch	male
118	S8	8B	67	2	13	17	positive	dutch	female
119	S8	8B	56	0	4	11	positive	dutch	female
120	S8	8B	66	3	19	21	positive	dutch	male
121	S8	8B	76	0	17	17	positive	multi	female
79	S8	8A	68	3	14	11	positive	dutch	female
80	S8	8A	100	15	24	32	positive	dutch	male
81	S8	8A	96	11	20	15	positive	dutch	male
83	S8	8A	70	3	20	18	positive	multi	female
84	S8	8A	54	0	6	12	positive	dutch	female
86	S8	8A	102	15	21	33	positive	multi	male
87	S8	8A	92	9	23	40	positive	dutch	male
88	S8	8A	78	14	21	35	positive	dutch	female
89	S8	8A	75	0	9	10	positive	dutch	female
90	S8	8A	102	20	25	46	positive	multi	female
91	S8	8A	72	4	11	8	positive	dutch	female
93	S8	8A	74	7	16	3	positive	dutch	male
95	S8	8A	80	2	12	12	positive	dutch	female
96	S8	8A	71	0	8	12	negative	dutch	female
97	S8	8A	72	4	11	19	positive	dutch	male
98	S8	8A	70	9	22	28	positive	dutch	female
99	S8	8B	73	0	7	6	positive	multi	female
123	S9	9A	99	20	24	33	positive	dutch	female
125	S9	9A	66	2	14	10	positive	dutch	male
126	S9	9A	64	3	15	8	negative	dutch	male
127	S9	9A	94	8	21	17	positive	dutch	male
128	S9	9A	96	17	20	25	positive	dutch	male
129	S9	9A	63	3	9	9	positive	dutch	female
130	S9	9A	96	18	25	33	positive	dutch	female
131	S9	9A	96	12	21	42	NA	dutch	male
132	S9	9A	88	12	14	21	positive	dutch	male
133	S9	9A	75	3	18	13	positive	dutch	male
134	S9	9A	90	6	19	24	positive	dutch	male
135	S9	9A	81	0	15	13	negative	dutch	female
136	S9	9A	71	4	11	16	positive	dutch	male
137	S9	9A	55	0	9	13	NA	NA	male
138	S9	9A	75	6	11	12	positive	dutch	male
139	S9	9A	102	18	24	44	positive	multi	female
140	S9	9A	82	18	23	33	positive	dutch	male
141	S9	9A	104	13	23	34	positive	dutch	male
142	S9	9A	89	10	21	14	positive	dutch	male
143	S9	9A	80	0	13	18	positive	dutch	male
144	S9	9A	82	8	12	10	positive	multi	female
145	S9	9A	74	2	13	18	positive	dutch	male
146	S9	9A	91	3	14	20	positive	multi	female
147	S9	9A	106	20	24	41	positive	multi	male
148	S9	9A	70	2	7	20	positive	dutch	male
149	S9	9A	81	3	22	29	positive	dutch	female
150	S9	9A	77	2	8	14	positive	dutch	male
151	S9	9A	93	1	22	27	positive	dutch	female
152	S9	9A	54	1	10	9	NA	dutch	female
154	S10	10A	79	NA	22	40	positive	dutch	male
155	S10	10A	70	2	11	14	positive	dutch	female
156	S10	10A	64	1	15	9	positive	dutch	female
157	S10	10A	92	13	20	20	positive	dutch	female
158	S10	10A	109	20	25	45	positive	multi	male
159	S10	10A	67	2	6	6	positive	dutch	male
160	S10	10A	63	1	9	12	positive	dutch	female
161	S10	10A	62	3	9	3	positive	dutch	male
162	S10	10A	61	10	12	17	positive	dutch	male
163	S10	10A	76	3	17	13	positive	dutch	female
164	S10	10A	82	11	19	36	positive	dutch	female
165	S10	10A	110	20	25	46	positive	dutch	male
166	S10	10A	82	1	8	11	positive	dutch	female
167	S10	10A	87	12	19	17	positive	dutch	male
168	S10	10A	57	5	9	11	positive	dutch	female
169	S10	10A	80	5	19	32	positive	dutch	female
170	S10	10A	63	6	16	20	positive	dutch	male
171	S10	10A	88	6	12	17	positive	dutch	female
172	S10	10A	108	20	24	48	positive	dutch	male
173	S10	10A	90	10	21	42	positive	dutch	female
174	S11	11A	72	2	8	7	positive	multi	female
175	S11	11A	61	6	9	14	positive	multi	female
176	S11	11A	60	0	0	13	positive	multi	male
177	S11	11A	76	0	8	15	positive	multi	female
178	S11	11A	84	11	21	18	positive	multi	male
179	S11	11A	67	0	2	9	positive	multi	female
180	S11	11A	61	3	5	15	negative	multi	female
181	S11	11A	60	0	4	10	positive	multi	male
182	S11	11A	58	0	5	10	positive	multi	male
183	S11	11A	113	18	24	47	positive	multi	male
184	S11	11A	86	6	16	25	positive	multi	female
185	S11	11A	96	20	22	34	NA	NA	male
186	S11	11A	74	0	5	17	positive	multi	female
187	S11	11A	69	3	8	14	positive	multi	male
188	S11	11A	66	0	10	8	positive	multi	female
189	S11	11A	74	0	2	6	positive	dutch	male
190	S11	11A	66	2	9	10	positive	multi	female
191	S11	11A	76	0	7	7	positive	multi	female
192	S11	11A	79	5	13	17	positive	dutch	female
193	S11	11A	98	19	20	42	positive	multi	male
194	S11	11A	64	4	8	13	positive	multi	female
195	S11	11A	98	16	22	32	positive	dutch	male
196	S11	11A	100	18	23	47	positive	multi	female
197	S11	11A	92	3	21	20	positive	multi	male
198	S12	12A	80	2	13	11	positive	dutch	male
199	S12	12A	68	0	10	7	positive	dutch	male
200	S12	12A	65	0	7	11	positive	dutch	female
201	S12	12A	71	0	5	10	positive	dutch	female
202	S12	12A	81	1	14	27	positive	dutch	male
203	S12	12A	61	4	11	13	positive	dutch	female
204	S12	12A	81	2	12	15	positive	dutch	male
205	S12	12A	63	0	8	14	positive	dutch	female
206	S12	12A	76	3	11	13	positive	dutch	female
207	S12	12A	60	0	5	12	positive	dutch	female
208	S12	12A	113	18	25	45	positive	dutch	male
209	S12	12A	84	10	18	18	positive	multi	female
210	S12	12A	86	3	14	7	positive	dutch	female
211	S12	12A	80	6	8	16	positive	multi	female
212	S12	12A	73	7	14	25	positive	dutch	male
213	S12	12A	78	2	8	14	positive	dutch	male
214	S12	12A	89	8	16	14	positive	dutch	male
215	S12	12A	104	17	20	31	positive	dutch	male
216	S12	12A	88	20	23	43	positive	dutch	female
217	S12	12A	69	5	7	13	positive	dutch	male
218	S12	12A	92	18	22	42	positive	dutch	female
219	S12	12A	82	10	14	21	positive	dutch	male
220	S12	12A	93	10	18	26	positive	dutch	male
221	S12	12A	78	8	12	23	positive	dutch	male
222	S12	12A	82	12	12	21	positive	dutch	female
223	S12	12A	69	3	7	12	positive	dutch	female
224	S12	12A	67	3	9	15	positive	dutch	male
225	S12	12B	78	7	17	27	positive	dutch	male
226	S12	12B	58	1	8	15	positive	dutch	female
227	S12	12B	66	8	19	18	positive	dutch	male
228	S12	12B	97	7	20	30	positive	dutch	male
229	S12	12B	77	0	8	15	positive	dutch	male
230	S12	12B	75	7	8	20	positive	dutch	female
231	S12	12B	95	7	22	29	positive	dutch	male
232	S12	12B	71	0	10	15	positive	dutch	female
233	S12	12B	66	0	18	16	positive	multi	male
234	S12	12B	79	7	13	22	positive	dutch	male
235	S12	12B	82	11	18	15	positive	dutch	female
236	S12	12B	100	13	22	38	positive	dutch	male
237	S12	12B	98	20	24	42	positive	multi	male
238	S12	12B	92	6	19	25	positive	dutch	male
239	S12	12B	74	4	11	10	positive	dutch	female
240	S12	12B	66	1	7	16	positive	dutch	male
241	S12	12B	90	1	16	35	positive	multi	male
242	S12	12B	84	7	7	17	positive	multi	female
