ID;Dyslexia;Preference;ReadingTime
57;no;Arial;23
162;no;Dyslexie;30
19;no;Arial;32
17;no;Arial;33
91;no;Arial;33
113;no;Dyslexie;34
173;no;Dyslexie;34
51;no;Arial;35
89;no;TimesNewRoman;35
120;no;Dyslexie;35
64;no;Dyslexie;37
5;no;Arial;38
1;no;Arial;38
101;no;Arial;39
27;no;TimesNewRoman;39
62;no;TimesNewRoman;39
139;no;Dyslexie;39
115;no;TimesNewRoman;40
59;no;Arial;41
76;no;Dyslexie;41
2;no;Arial;42
176;no;Arial;42
94;no;Dyslexie;42
107;no;Dyslexie;42
145;no;Arial;42
172;no;Dyslexie;42
20;no;Arial;43
98;no;Dyslexie;43
58;no;Arial;43
71;no;Arial;43
26;no;TimesNewRoman;45
82;no;Arial;46
88;no;Arial;46
119;no;TimesNewRoman;46
114;no;Arial;46
65;no;Dyslexie;47
86;no;TimesNewRoman;47
60;no;Dyslexie;47
134;no;Arial;47
16;no;Arial;48
32;no;TimesNewRoman;48
23;no;Arial;49
110;no;Dyslexie;49
73;no;Dyslexie;50
151;no;Dyslexie;50
125;no;Arial;51
146;no;Dyslexie;51
61;no;Arial;52
35;no;TimesNewRoman;52
108;no;Dyslexie;53
67;no;Dyslexie;53
163;no;Dyslexie;53
95;no;Arial;54
79;no;Dyslexie;54
7;no;Arial;55
36;no;Arial;55
50;no;Arial;55
130;no;Arial;56
56;no;Dyslexie;56
81;no;Dyslexie;56
25;no;Arial;56
93;no;Arial;56
104;no;Arial;56
69;no;Dyslexie;57
75;no;Arial;57
106;no;Dyslexie;57
165;no;Dyslexie;57
147;no;Dyslexie;57
9;no;Arial;59
131;no;Dyslexie;59
46;no;Arial;59
66;no;Dyslexie;59
24;no;TimesNewRoman;60
77;no;TimesNewRoman;60
42;no;Arial;60
10;no;Arial;61
141;no;Dyslexie;61
102;no;Dyslexie;62
43;no;Arial;62
177;no;Dyslexie;62
8;no;Arial;62
111;no;Dyslexie;63
122;no;Dyslexie;65
21;no;Arial;65
31;no;Arial;65
12;no;Dyslexie;66
18;no;Arial;67
44;no;Arial;67
68;no;Arial;67
167;no;Dyslexie;67
168;no;Arial;67
22;no;Arial;69
112;no;Dyslexie;69
48;no;Arial;70
6;no;Dyslexie;70
132;no;Arial;71
178;no;Arial;71
175;no;Dyslexie;73
166;no;Dyslexie;73
52;no;Arial;77
169;no;Dyslexie;78
70;no;Dyslexie;81
164;no;Dyslexie;82
84;no;TimesNewRoman;86
53;no;Arial;86
117;no;Dyslexie;87
133;no;Dyslexie;91
171;no;Dyslexie;91
41;no;TimesNewRoman;96
85;no;TimesNewRoman;99
170;no;Dyslexie;100
144;no;Arial;104
100;no;Arial;106
126;yes;Dyslexie;27
11;yes;Arial;44
174;yes;Dyslexie;45
80;yes;Dyslexie;49
137;yes;Dyslexie;50
157;yes;Arial;52
154;yes;Dyslexie;53
129;yes;Dyslexie;54
150;yes;Dyslexie;54
128;yes;Dyslexie;55
153;yes;Arial;55
13;yes;Arial;57
90;yes;TimesNewRoman;59
109;yes;Arial;61
92;yes;Dyslexie;62
4;yes;Arial;63
39;yes;Arial;63
180;yes;Dyslexie;63
158;yes;Arial;64
142;yes;Arial;65
15;yes;Arial;65
63;yes;Dyslexie;66
14;yes;Dyslexie;68
124;yes;Arial;69
38;yes;Arial;69
143;yes;Arial;69
78;yes;Dyslexie;70
37;yes;Arial;70
136;yes;Dyslexie;71
152;yes;Arial;71
148;yes;Dyslexie;74
29;yes;Arial;74
33;yes;Dyslexie;75
127;yes;Arial;77
155;yes;Arial;77
138;yes;Arial;80
179;yes;Dyslexie;80
87;yes;Dyslexie;82
116;yes;Dyslexie;83
160;yes;Arial;84
140;yes;Arial;85
30;yes;Arial;87
99;yes;TimesNewRoman;87
55;yes;Arial;89
54;yes;Arial;89
49;yes;Arial;90
72;yes;Dyslexie;90
103;yes;Arial;93
121;yes;Dyslexie;94
156;yes;Dyslexie;96
159;yes;Dyslexie;96
40;yes;Dyslexie;96
97;yes;Arial;96
28;yes;Arial;100
123;yes;Arial;107
47;yes;Dyslexie;111
96;yes;Dyslexie;112
135;no;Dyslexie;44
83;no;Arial;68
